id_user,spent,date_created,type_of_purchase
313564,220,2022-12-16,crystals
313564,220,2022-12-17,crystals
313564,320,2022-12-16,crystals
488796,5,2022-12-16,crystals
488796,10,2022-12-14,crystals
909913,5,2022-12-14,crystals
909913,20,2022-12-13,coins
1216005,5,2022-12-15,crystals
1216005,30,2022-12-13,coins
1376616,10,2022-12-16,crystals
1376616,10,2022-12-17,crystals
1376616,10,2022-12-18,crystals
1376616,10,2022-12-18,crystals
1376616,10,2022-12-19,crystals
1376616,10,2022-12-19,crystals
1376616,10,2022-12-21,crystals
1376616,30,2022-12-17,crystals
1376616,30,2022-12-18,crystals
1376616,90,2022-12-17,crystals
1376616,90,2022-12-17,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,90,2022-12-18,crystals
1376616,140,2022-12-19,crystals
1376616,140,2022-12-19,crystals
1376616,140,2022-12-19,crystals
1376616,140,2022-12-20,crystals
1376616,140,2022-12-20,crystals
1376616,140,2022-12-21,crystals
1376616,140,2022-12-21,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-16,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1376616,220,2022-12-17,crystals
1670487,5,2022-12-19,crystals
1670487,155,2022-12-13,coins
1678052,30,2022-12-24,crystals
1678052,2198,2022-12-13,coins
1800162,20,2022-12-14,crystals
1800162,48,2022-12-15,crystals
